,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
1102,US,"There's a ying-yang of rich crème brûlée, lemon curd and toasted oak amid good acidity and fresh apple and pear fruit, with inviting aromas to boot. Creamy and crisp it'll serve well aside all manner of seafood, like fresh-caught trout.",Charles Heintz Vineyard,90,45,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Landmark 2012 Charles Heintz Vineyard Chardonnay (Sonoma Coast),Chardonnay,Landmark
1103,US,"With alcohol in the low-moderate range, this immaculately fresh wine is flush with juicy gooseberry and grapefruit. It carries the varietal hallmarks of fresh herbs, notably chive, and a balancing lick of minerality.",,90,13,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Mercer 2013 Sauvignon Blanc (Yakima Valley),Sauvignon Blanc,Mercer
1104,France,"This is as perfumed an example of Syrah as you'll find from the Southern Rhône. Hints of herbs, spice and violets accent blueberry fruit in this charming wine. It's medium in body—not that rich but or layered but supple, silky and easily accessible. Drink this through the end of 2015.",Les Piliers,90,15,Rhône Valley,Costières de Nîmes,,Joe Czerwinski,@JoeCz,Michel Gassier 2012 Les Piliers Syrah (Costières de Nîmes),Syrah,Michel Gassier
1105,Italy,"Intense aromas of blue flower, red berry and licorice lead the nose on this full-bodied wine. Menthol, licorice, cake spices and a blast of orange zest complement the juicy, red cherry and black raspberry flavors.",,90,22,Piedmont,Langhe,,Kerin O’Keefe,@kerinokeefe,Nada Fiorenzo 2011 Nebbiolo (Langhe),Nebbiolo,Nada Fiorenzo
1106,US,"Boushey and Red Willow are the vineyards that contribute to this 100% varietal Cabernet Franc. There's excellent concentration to the brambly, bright, blackberry fruit, and some sharp acidity to underscore it. It's pure varietal and should continue to improve 2019–2021.",Outcast,90,35,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Barrage Cellars 2010 Outcast Cabernet Franc (Yakima Valley),Cabernet Franc,Barrage Cellars
1107,US,"Fresh, gushing fruit flavors such as raspberry, red cherry and boysenberry fill out this expressive and well-balanced wine. It is sweetly fruity in aroma, full-flavored, full-bodied, firm and dry in texture but not heavy. It craves ribs or wood-fired pizza.",California Series,90,20,California,Yolo County,Central Valley,Jim Gordon,@gordone_cellars,Berryessa Gap 2011 California Series Zinfandel (Yolo County),Zinfandel,Berryessa Gap
1108,US,"Distinct crushed lava rock aromas meet with dust, cinnamon, cola and Dr Pepper on this blend of 28% Syrah, 22% Grenache, 17% Cinsault, 17% Mourvèdre and 16% Carignane. Light red fruits of cranberry and slight strawberry show on the palate that dives into serious tannins quickly.",Le Cigare Volant,90,38,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Bonny Doon 2010 Le Cigare Volant Red (Central Coast),Rhône-style Red Blend,Bonny Doon
1109,Italy,"Black currant, bell pepper and leather aromas lead the way on this blend of Sangiovese and Cabernet Sauvignon. The dense palate delivers ripe black cherry, grilled pepper, mocha and cracked black pepper alongside bracing tannins.",Sant'Ercolano,90,70,Tuscany,Vino Nobile di Montepulciano,,Kerin O’Keefe,@kerinokeefe,Carpineto 2006 Sant'Ercolano  (Vino Nobile di Montepulciano),Red Blend,Carpineto
1110,Spain,"With a black color and deep, resiny aromas of licorice, baking spices and black fruits, this is a big, Tempranillo with plenty of size and tannic bite. Flavors of earthy, oaky, loamy plum and blackberry finish with licorice, spice and baked notes. Drink through 2018.",Antiguos Viñedos,90,60,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Casajús 2011 Antiguos Viñedos  (Ribera del Duero),Tempranillo,Casajús
1111,Spain,"The nose falls somewhere between smoky and gritty, while dusty white-fruit scents prop things up. Peachy acidity and citric tang let you know this is a “nature” Cava, while nectarine, rhubarb and green-herb flavors finish razor crisp and dry.",Reserva Brut Nature,90,25,Catalonia,Cava,,Michael Schachner,@wineschach,Castellroig 2010 Reserva Brut Nature Sparkling (Cava),Sparkling Blend,Castellroig
1112,France,"Dense almost to the point of chewiness, this is a concentrated blend of Syrah, Carignan and Grenache. Earthy, plummy notes pick up hints of dark chocolate and licorice before ending rich and velvety.",Les Cimels,90,17,Rhône Valley,Costières de Nîmes,,Joe Czerwinski,@JoeCz,Château d'Or et de Gueules 2010 Les Cimels Red (Costières de Nîmes),Rhône-style Red Blend,Château d'Or et de Gueules
1113,US,"Coming from the warm 2013 vintage, this is an aromatic offering, with notes of pineapple, kiwi, herbs and oak spices (40% barrel fermented). It's creamy in feel, but with tart, vibrant acidity that keeps the palate fresh and lively.",Horse Heaven Vineyard,90,15,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Chateau Ste. Michelle 2013 Horse Heaven Vineyard Sauvignon Blanc (Horse Heaven Hills),Sauvignon Blanc,Chateau Ste. Michelle
1114,Italy,"Opening with aromas of underbrush, perfumed berries and crushed violets, this balanced Rosso displays its pedigree. The savory palate delivers dense wild cherry layered with orange peel, white pepper, mocha and cake spices alongside supple tannins. Energizing minerality signals the close. Enjoy now–2017.",,90,38,Tuscany,Rosso di Montalcino,,Kerin O’Keefe,@kerinokeefe,Citille di Sopra 2012  Rosso di Montalcino,Sangiovese,Citille di Sopra
1115,Spain,"This 2008 holdover shows a mix of jammy, composed berry aromas as well as staunch notes of dried cheese and leather. The palate is firm at first, then more loamy and layered. On the flavor profile, baked berry blends with brine and cardamom, while on the finish this ready-to-drink RDD delivers licorice and earthy baked notes.",Reserva,90,27,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Condado de Oriza 2008 Reserva  (Ribera del Duero),Tempranillo,Condado de Oriza
1116,US,"One of a string of great values made at Terravant near Santa Barbara. Attractively oaky, it's full-bodied, full-flavored and just tannic enough to make it a good pairing for rich meat or cheese courses. It is deep in color, with a slightly tawny rim. It smells like wood smoke and grilled bread, tastes deep as blackberry and delivers cherry flavors that linger on the finish.",,90,10,California,California,California Other,Jim Gordon,@gordone_cellars,Cookies & Cream 2010 Merlot (California),Merlot,Cookies & Cream
1117,US,"Rich cherry and spicy black pepper introduce the nose to this wine from the Adelaida district. The flavors explore the more nuanced, not overly jammy side of the grape, with tart acidity and a good tannic backbone ensuring a long life. Decent now, but better to drink 2018–2022.",Reserve,90,56,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Daou 2012 Reserve Zinfandel (Paso Robles),Zinfandel,Daou
1118,Italy,"Ripe black plum, forest floor, mint and spice notes lead the nose on this savory, medium-bodied red. The succulent, straightforward palate doles out fleshy black cherry and crushed raspberry accented with black pepper and clove alongside round tannins. Drink through 2015.",,90,18,Tuscany,Rosso di Montepulciano,,Kerin O’Keefe,@kerinokeefe,Dei 2012  Rosso di Montepulciano,Red Blend,Dei
1119,France,"A blend of white Bordeaux and local Gers grapes, this is a smooth, medium sweet wine. With three years of aging, it has become mature, rich in smoky flavors as well as dried apricot and bitter oranges. Acidity keeps everything in line. It's ready to drink.",Quadrille,90,32,Southwest France,Gers,,Roger Voss,@vossroger,Domaine de Gensac 2011 Quadrille White (Gers),White Blend,Domaine de Gensac
1120,France,"Chardonay and Pinot Noir are both present in this apple and pear flavored wine. A lively mousse brings out the fruit and acidity, giving a tangy, bright wine that's ready to drink now.",Brut,90,24,France Other,Crémant de Jura,,Roger Voss,@vossroger,Domaine Rolet Père et Fils 2008 Brut Sparkling (Crémant de Jura),Sparkling Blend,Domaine Rolet Père et Fils
1121,France,"This wine came out of the disaster of shriveled Duras grapes after an especially hot period. Rather than discarding them, Domaine Rotier made a wine. Wood aged, it has many of the characters of a late harvest with its rich, sweet, lightly tannic flavors and sufficient acidity to balance. A surprising success.",Noces de Feu,90,,France Other,Vin de Liqueur,,Roger Voss,@vossroger,Domaine Rotier NV Noces de Feu Duras (Vin de Liqueur),Duras,Domaine Rotier
1122,US,"While ebulliently peachy and floral on the nose, savory notes of dried reeds and savory herbs overwhelm the fruit flavors in this dry, light-bodied Riesling. It's crisp and refreshingly composed, but finishes a bit short. Drink now.",Zero Degree Dry,84,16,New York,Seneca Lake,Finger Lakes,Anna Lee C. Iijima,,Three Brothers 2014 Zero Degree Dry Riesling (Seneca Lake),Riesling,Three Brothers
1123,US,"Red apple, spice and honey aromas lead to medium-sweet fruit flavors. It brings some appeal but the concentration doesn't seem all there.",Dessert Wine Estate Wilridge Vineyard,84,40,Washington,Naches Heights,Columbia Valley,Sean P. Sullivan,@wawinereport,Wilridge 2014 Dessert Wine Estate Wilridge Vineyard Pinot Gris (Naches Heights),Pinot Gris,Wilridge
1124,US,"This wine is an unusual blend of Touriga (38%), Tinto Cão (20%), Tempranillo (18%), Petit Verdot (15%) and Souzão. Alcohol aromas show prominently along with dark fruit. The fruit flavors seem dried out, juxtaposed by the sweetness of the wine, with the tannins having a real sense of grip.",Vintage Estate Dessert Wine Wilridge Vineyard,84,20,Washington,Naches Heights,Columbia Valley,Sean P. Sullivan,@wawinereport,Wilridge 2014 Vintage Estate Dessert Wine Wilridge Vineyard Red (Naches Heights),Red Blend,Wilridge
1125,US,"This wine is tightly wound and thickly colored. Full bodied in style, it shows plenty of oak influence, aged in entirely French oak for 16 months, 42% of it new. Cranberry and sour cherry dominate in terms of fruit, with an underlying agenda of clove and tea.",Estate Grown,84,38,California,Sonoma Mountain,Sonoma,Virginie Boone,@vboone,Belden Barns 2013 Estate Grown Pinot Noir (Sonoma Mountain),Pinot Noir,Belden Barns
1126,France,"Based in the heart of the Haut-Médoc, this property has produced a wine that shows a dry character, with bitter extraction and too much wood. There are just hints of juicy fruit that will need time to come through. It could well stay dry and firm always.",,84,20,Bordeaux,Haut-Médoc,,Roger Voss,@vossroger,Château du Retout 2013  Haut-Médoc,Bordeaux-style Red Blend,Château du Retout
1127,France,The producer has probably used too much wood for the fruit and density of this wine. The toastiness does not allow any fruit to show through.,,84,18,Bordeaux,Médoc,,Roger Voss,@vossroger,Château la Gravette Lacombe 2013  Médoc,Bordeaux-style Red Blend,Château la Gravette Lacombe
1128,France,"This wine is lean with acidity playing over the red-currant fruits, leaving a character that's light and tight. While the wine will soften it's not likely to show any more weight or richness.",,84,,Bordeaux,Médoc,,Roger Voss,@vossroger,Château Méric 2013  Médoc,Bordeaux-style Red Blend,Château Méric
1129,Chile,"Prickly aromas of juniper and cherry are sharp and lean towards green. This Malbec feels tight and lean, while plum and herbal aromas qualify as basic. A light, racy finish pinches and tastes generic.",Reserva,84,13,Maule Valley,,,Michael Schachner,@wineschach,Apaltagua 2014 Reserva Malbec (Maule Valley),Malbec,Apaltagua
1130,US,"This is a challenging mix of substantially puckering tannins and herbaceous notes, dotted in black peppercorns. The fruit is elusive.",You be the judge!,84,65,California,Napa Valley,Napa,Virginie Boone,@vboone,In Re 2011 You be the judge! Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,In Re
1131,New Zealand,"Despite some ripe, honeyed aromas, this is light in body and quite lean on the palate. Underripe pineapple flavors show a tart, herbal edge on the finish.",,84,16,Marlborough,,,Joe Czerwinski,@JoeCz,Chasing Venus 2014 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Chasing Venus
1132,France,"This soft, jammy and fruity wine is ready to drink, with black-currant flavors that are ripe and rounded. Only the lightest tannins gives any structure to this wine that is immediately accessible.",,84,14,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château les Joyeuses 2014  Bordeaux,Bordeaux-style Red Blend,Château les Joyeuses
1133,France,Too enthusiastic use of wood has left this wine bereft of fruit and unbalanced.,,84,20,Bordeaux,Médoc,,Roger Voss,@vossroger,Château Monfort Bellevue 2012  Médoc,Bordeaux-style Red Blend,Château Monfort Bellevue
1134,France,"This wine is structured and stalky without the fruit weight, reflecting the difficult vintage. A smoky character comes through the acidity to leave a dry aftertaste. Through 2016, it will soften a little, although always missing the fruit. The blend is 55% Merlot, 25% Cabernet Ssauvignon and 20% Cabernet Franc.",,84,15,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château Vrai Caillou 2013  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Vrai Caillou
1135,Chile,"Prickly aromas of nettle are simple as well as diluted. This feels basic and fresh, while green, citrusy flavors end with pithy notes and an oily feel.",Reserva Casillero del Diablo,84,11,Chile,,,Michael Schachner,@wineschach,Concha y Toro 2015 Reserva Casillero del Diablo Sauvignon Blanc (Chile),Sauvignon Blanc,Concha y Toro
1136,US,"This Zinfandel-dominant blend also contains Cabernet Franc and Petite Sirah in sizable amounts, rounded out by a handful of Merlot. Relatively light bodied, it has a muted nose. The flavors lean towards overripe, more dried fruit than fresh.",,84,27,California,Napa Valley,Napa,Virginie Boone,@vboone,Experience 2012 Red (Napa Valley),Red Blend,Experience
1137,Italy,"This easygoing, simple red offers hints of dark berry flavors while a note of dark spice fleetingly appears in the background. It's uber-informal and rather diluted with a short but clean finish.",,84,11,Sicily & Sardinia,Terre Siciliane,,Kerin O’Keefe,@kerinokeefe,Cantine Grasso 2014 Nero d'Avola (Terre Siciliane),Nero d'Avola,Cantine Grasso
1138,Italy,"This informal rosato offers delicate aromas and flavors of wild red berry and blood orange. It's rather lean and diluted, with bracing acidity.",Frà,84,10,Southern Italy,Basilicata,,Kerin O’Keefe,@kerinokeefe,Grifalco 2014 Frà Rosato (Basilicata),Rosato,Grifalco
1139,US,An uncomplicated combination of red and black berry bramble with an overlay of coconut shavings provides a ripeness of fruit atop sweetened tannins and dull oak in this wine. It's made to be medium bodied and enjoyable now.,Las Viñas del Señor,84,100,California,Napa Valley,Napa,Virginie Boone,@vboone,Madrigal 2012 Las Viñas del Señor Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Madrigal
1140,US,"Pronounced notes of butter, cheese and canned cream corn dominate this savory Chardonnay. It's a rather fat, cream-textured wine but sunny tangerine acidity and fresher notes of apple and pear flavors do get a peek through the midpalate.",Proprietor's Special Reserve,84,25,New York,Hudson River Region,New York Other,Anna Lee C. Iijima,,Millbrook 2013 Proprietor's Special Reserve Chardonnay (Hudson River Region),Chardonnay,Millbrook
1141,Chile,"Aromas of corn and melon are waxy and oily. This feels pinched and juicy, but not crisp or minerally. Stalky flavors of corn, citrus and apple lean towards bitter, as does the finish.",Medalla Real Gran Reserva,84,18,Leyda Valley,,,Michael Schachner,@wineschach,Santa Rita 2014 Medalla Real Gran Reserva Chardonnay (Leyda Valley),Chardonnay,Santa Rita
1142,US,"Aromas like green apples and lemons, and herbal flavors make this wine refreshing and balanced toward the lean side. It's rather light bodied and crisp in texture.",,84,13,California,Lodi,Central Valley,Jim Gordon,@gordone_cellars,Scotto Family Cellars 2012 Chardonnay (Lodi),Chardonnay,Scotto Family Cellars
1143,US,"After 34 months in previously used French barrels, this wine has a brownish rim. It smells like pepper, clove and cinnamon and tastes like dried fruit. Considerable tannins contribute to an astringent mouthfeel.",Sacrlet's Flirtation,84,28,California,Mendocino,,Jim Gordon,@gordone_cellars,Spicy Vines 2011 Sacrlet's Flirtation Zinfandel (Mendocino),Zinfandel,Spicy Vines
1144,US,"This Meritage is mostly Cabernet Sauvignon and Merlot, with smaller additions of Malbec, Petit Verdot and Cabernet Franc. Tasting quite ripe, it has a burnt sage and cedar undertone. Tannins hit on the back of the palate with power and not much finesse.",,83,11,California,Napa Valley,Napa,Virginie Boone,@vboone,Kirkland Signature 2012 Meritage (Napa Valley),Meritage,Kirkland Signature
1145,France,"This fresh wine has plenty of acidity as well as some firm tannins. It is still young, waiting to fill out with riper fruit flavors. The aftertaste just repeats the acidity.",La Tour du Gouverneur,83,12,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Les Vignerons Réunis de Monségur 2014 La Tour du Gouverneur  (Bordeaux),Bordeaux-style Red Blend,Les Vignerons Réunis de Monségur
1146,Italy,"With the pale color of onion skin, this rosé has muted aromas of damp earth and dried rose petal. The lean, diluted palate reveals suggestions of red berry alongside brisk acidity.",,83,,Southern Italy,Campania,,Kerin O’Keefe,@kerinokeefe,Nugnes 2014 Rosato (Campania),Rosato,Nugnes
1147,US,"The aromas of cinnamon, kelp, and dried fruit are unusual and don't seem in harmony. The gamy flavors bring some appeal but don't entirely come together.",,83,17,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Barnard Griffin 2013 Merlot (Columbia Valley (WA)),Merlot,Barnard Griffin
1148,Italy,"This lean red initially opens with a sulfur aroma that burns off to reveal steeped prune, dried violet and a hint of resin. The diluted, fleeting palate offers hints of black cherry and walnut skin.",Caporosso,83,14,Sicily & Sardinia,Sicilia,,Kerin O’Keefe,@kerinokeefe,Cantine Grasso 2013 Caporosso Nero d'Avola (Sicilia),Nero d'Avola,Cantine Grasso
1149,France,"Lean and tannic, this wine has chocolate and bitter coffee flavors from over-extraction. The fruit is suppressed at this stage, with a bitter aftertaste.",,83,30,Bordeaux,Médoc,,Roger Voss,@vossroger,Château les Lattes 2013  Médoc,Bordeaux-style Red Blend,Château les Lattes
1150,Chile,"Blocky, stewy, raisiny aromas of nonspecific black fruits are jumbled and green. This feels awkward and jammy, with little to no structural integrity. Flavors of prune, raisin and oak finish soft and loamy.",Reserva Casillero del Diablo,83,11,Central Valley,,,Michael Schachner,@wineschach,Concha y Toro 2014 Reserva Casillero del Diablo Carmenère (Central Valley),Carmenère,Concha y Toro
1151,US,"Coffee grinds and caramel mingle with hints of popcorn and dried herbs in this curious blend of white grapes which have been aged Sherry-style in a solera. Whiffs of dried fruit and caramel are enticing, but the palate juxtaposes craggy acidity with mouthfeel that's dampening and flat.",Meleau White Specialty Wine,83,45,New York,New York,New York Other,Anna Lee C. Iijima,,Ports of New York NV Meleau White Specialty Wine White (New York),White Blend,Ports of New York
1152,US,"This is spicy and sharp, with high-toned fruit flavors of berry and currant. Acids are strong and provide good focus, with a spicy/peppery note resonating through the finish.",Narcissa Red,87,24,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Whitman Cellars 2004 Narcissa Red Red (Columbia Valley (WA)),Red Blend,Whitman Cellars
1153,Austria,"The focus of this full, rounded, soft Pinot Blanc is on the pear flavors. The mineral texture is about easy-drinking freshness allied to attractive acidity.",Steierische Klassik,87,15,Südoststeiermark,,,Roger Voss,@vossroger,Winkler-Hermaden 2007 Steierische Klassik Weissburgunder (Südoststeiermark),Weissburgunder,Winkler-Hermaden
1154,Australia,"This wine boasts admirable complexity, but comes across as a bit angular, with the acids maybe a touch too prominent. Still, the flavors of mint, pepper and meat layered over plum and raspberry fruit offer a lot to like, and the acids may actually make this wine more versatile with food than many more unctuous Shiraz.",Old Vine,87,19,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Fire Block 2004 Old Vine Shiraz (Clare Valley),Shiraz,Fire Block
1155,Greece,"The White Fox is a refreshing, crisp white that offers a balance of acidity, spice and creamy pear flavors. There's body and the wine has weight without being heavy, its lemon acidity keeping it aloft.",White Fox,87,15,Corinth,,,Susan Kostrzewa,@suskostrzewa,Palivou 2006 White Fox Roditis (Corinth),Roditis,Palivou
1156,Austria,"Manfred Felsner obviously enjoys the spicy character of Grüner Veltliner, because, like all his wines from this varietal, this has spice in spades. But it also has good fresh acidity, which emphasizes the green fruit character of the wine, bringing out the crispness of the year. Screwcap.",Rohrendorfer Leithen Alte Reben,87,23,Kremstal,,,Roger Voss,@vossroger,Felsner 2007 Rohrendorfer Leithen Alte Reben Grüner Veltliner (Kremstal),Grüner Veltliner,Felsner
1157,US,"Old vine Petite Sirah fortified with brandy in the Port style, this very sweet wine could benefit from some time in the bottle. It's quite rich in chocolate, black currant and spice flavors wrapped into smooth, thick tannins, with a burn of alcohol on the finish.",L'Anima,87,60,California,Mendocino,,,,Gemella 2005 L'Anima Petite Sirah (Mendocino),Petite Sirah,Gemella
1158,Austria,"A big, ripe wine, full of berry fruits and rhubarb, edged with tannins, spice and red plum skins. It has a juicy, rich quality, enhanced by acidity, and rounded with vanilla. Keep for a year. Screwcap.",,87,16,Burgenland,,,Roger Voss,@vossroger,Gunter Triebaumer 2006 Blaufränkisch (Burgenland),Blaufränkisch,Gunter Triebaumer
1159,Austria,"This highly aromatic, softly sweet wine brings together lychees, mango and pear-skin flavors, given freshness from acidity. Light, poised, delicate, it leaves a delicious lift.",Spätlese,87,21,Burgenland,,,Roger Voss,@vossroger,Gunter Triebaumer 2006 Spätlese Traminer (Burgenland),Traminer,Gunter Triebaumer
1160,Greece,"The bone-dry, earthy minerality of Assyrtiko blends well with the crisp, fresh fruit flavors of Sauvignon Blanc in this white blend. Clean, simple flavors of citrus, spice and slate give the wine a quaffable, food-friendly edge.",Ambelonas at Agios Pavlos,87,13,Halkidiki,,,Susan Kostrzewa,@suskostrzewa,Tsantali 2006 Ambelonas at Agios Pavlos White (Halkidiki),White Blend,Tsantali
1161,Italy,"There's a distinctly mineral, almost ashen quality to this wine that recalls talcum powder and schoolroom chalkboard. The wine is linear and defined and has very pungent, almost sharp, effervescence with drying minerals on the close and will keep the palate polished and clean.",Desiderio Jeio Brut,86,17,Veneto,Prosecco del Veneto,,,,Bisol NV Desiderio Jeio Brut  (Prosecco del Veneto),Prosecco,Bisol
1162,Italy,"This Prosecco Extra Dry has a subtle, easy approach with measured fruit intensity but recognizable sweetness in the form of silky honey and melon. It offers a good measure of cleaning effervescence and chewy fruit to keep it going.",Extra Dry,86,15,Veneto,Prosecco di Conegliano,,,,Carmina NV Extra Dry  (Prosecco di Conegliano),Prosecco,Carmina
1163,Italy,"Delicate and sweet, this pretty Prosecco offers delicate floral notes and shadings of banana and exotic fruit. It is light and foamy in the mouth with full, soft texture and sensual sweetness on the close.",Cuvée Oro Dry,86,20,Veneto,Prosecco di Conegliano,,,,Carpenè Malvolti NV Cuvée Oro Dry  (Prosecco di Conegliano),Prosecco,Carpenè Malvolti
1164,Italy,"Simple peach aromas characterize this Prosecco Dry with a creamy, frothy cap, pretty bubbling and measured aromas of fruit salad and kiwi. The wine comes alive in the mouth thanks to its pretty mineral tones and generous fruity sweetness: Made from late-harvest Prosecco grapes.",Servo Suo Dry Vendemmia Tardiva,86,19,Veneto,Prosecco di Valdobbiadene,,,,Col Saliz NV Servo Suo Dry Vendemmia Tardiva  (Prosecco di Valdobbiadene),Prosecco,Col Saliz
1165,US,"From Gallo, a two-county blend with some real elegance and style. The Cab is dry, soft and full-bodied, with lingering blackberry, currant, licorice and spice flavors. Drink now.",,86,23,California,Napa-Sonoma,Napa-Sonoma,,,Ghost Pines 2005 Cabernet Sauvignon (Napa-Sonoma),Cabernet Sauvignon,Ghost Pines
1166,US,"With its peppery spices and briary, brambly notes of ripe wild berries, this wine tastes more like Zinfandel than Merlot. It's not true to the variety, but it is a solid red wine, dry and full-bodied.",Estate,86,18,California,Sonoma Valley,Sonoma,,,Wellington 2004 Estate Merlot (Sonoma Valley),Merlot,Wellington
1167,Italy,"Here is a very clean and pristine Prosecco Brut with measured but distinct notes of white peach, acacia flower and chopped kiwi. The wine tastes creamy and slightly sweet with chewy peach flavors. It makes a perfect aperitif wine.",Special Cuvée Brut,86,13,Veneto,Prosecco del Veneto,,,,Zonin NV Special Cuvée Brut  (Prosecco del Veneto),Prosecco,Zonin
1168,US,"In keeping with the winery's other red wine releases, the Cedarosa matches tart berry fruits to lush barrel flavors of butter and toast. It's approachable and somewhat monolithic.",Cedarosa,86,26,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Lost River 2005 Cedarosa Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Lost River
1169,Italy,"Tonic and lean, this foamy sparkler delivers aromas of stone fruit, honey and yellow flower. It's a delicate, feminine wine with characteristic almond-like sourness on the close.",Millesimato Extra Brut,86,13,Veneto,Prosecco del Veneto,,,,Toffoli 2007 Millesimato Extra Brut  (Prosecco del Veneto),Prosecco,Toffoli
1170,Argentina,"Apricot and oak aromas make for a smoky, slightly heavy bouquet. The wine keeps that weightiness as it passes from nectarine to citrus to tropical fruits. Long on the finish, with integrity. But it's also a bit citric in the center. “Pulpy” is another descriptor.",Broquel,86,17,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Trapiche 2007 Broquel Chardonnay (Mendoza),Chardonnay,Trapiche
1171,Germany,"Despite weighing in at 12% alcohol, this seems light in body and sweet in style, with honeyed pineapple aromas and flavors of apple skin and lime. Finishes stridently, with a dusty texture.",Niersteiner Bergkirche Kabinett,86,20,Rheinhessen,,,Joe Czerwinski,@JoeCz,Louis Guntrum 2006 Niersteiner Bergkirche Kabinett Riesling (Rheinhessen),Riesling,Louis Guntrum
1172,US,"A little heavy and ripe for a Pinot Noir, this bottling shows pie-filling flavors of cherries, blackberries and currants, with a candied chocolate-covered mint sweetness. It also seems overly soft. Drink now.",Durell Vineyard,86,48,California,Sonoma Coast,Sonoma,,,Pali 2006 Durell Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Pali
1173,US,"Stemmler's record is spotty with this bottling. This '05 is a little too ripe, soft and heavy, but the chocolate-inspired red currant, cola and licorice flavors are lip-smackingly good.",Nugent Vineyard,86,40,California,Russian River Valley,Sonoma,,,Robert Stemmler 2005 Nugent Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Robert Stemmler
1174,Argentina,"Toast and char sit atop the bouquet like a heavy king on his throne, but there's nothing fake or weak about it. The color is dark and the palate is round; flavors of black plum, figs and black olives convey a meaty, true personality amid all the char, chocolate and vanilla. A good wine in the massive category that is value-priced Merlot.",Trumpeter,86,12,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Rutini 2006 Trumpeter Merlot (Mendoza),Merlot,Rutini
1175,Austria,"Fresh, crisp, citrus and floral flavors make a light, easy Grüner Veltliner, a great summer drink of light white fruits and green berries. Screwcap.",Koenigsegg Velt. 1,86,12,Burgenland,,,Roger Voss,@vossroger,Schloss Halbturn 2006 Koenigsegg Velt. 1 Grüner Veltliner (Burgenland),Grüner Veltliner,Schloss Halbturn
1176,Italy,This is textbook Prosecco Extra Dry with sweet fragrances of stone fruit and white flower backed by mineral shadings and delicious honey. The wine is simple with lively acidity on the close.,Col del Sas Extra Dry,86,18,Veneto,Prosecco di Valdobbiadene,,,,Spagnol NV Col del Sas Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Spagnol
1177,Portugal,"Made from old vines, this rich rosé is full of fruit. It has fine acidity as well as wild-strawberry flavors. The texture, lightly mineral, gives the wine a crisp, tight shape. With a fresh aftertaste, the wine will be just right for food.",Lua Cheia em Vinhas Velhas,88,14,Douro,,,Roger Voss,@vossroger,Wines & Winemakers 2015 Lua Cheia em Vinhas Velhas Rosé (Douro),Rosé,Wines & Winemakers
1178,Argentina,"Aromas of blackberry and briar patch expand to include violet notes. In the mouth, there's pulpy weight to the fruit and rubbery tannins for framing. Rugged but generic black-fruit flavors finish with toasty darkness and some burn.",Reserve Estate Grown,88,19,Mendoza Province,Valle de Uco,,Michael Schachner,@wineschach,Zolo 2014 Reserve Estate Grown Cabernet Sauvignon (Valle de Uco),Cabernet Sauvignon,Zolo
1179,France,"Packed with red fruits and crisp acidity, this lively wine has a tight mousse, while the red-currant fruitiness adds intense acidity. The wine is bright and ready to drink.",La Burgondie Rosé Brut,88,10,Burgundy,Crémant de Bourgogne,,Roger Voss,@vossroger,Bailly-Lapierre NV La Burgondie Rosé Brut  (Crémant de Bourgogne),Sparkling Blend,Bailly-Lapierre
1180,US,"Honeylike aromas, ripe peach and apple flavors and rather full body give this wine good depth and breadth. It seems like just the thing for a picnic or to serve with cheese at a party.",,88,26,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Balo 2014 Pinot Gris (Anderson Valley),Pinot Gris,Balo
